listening on :8013 mode=msg conns=2
HOST-M conn#1 seq=88 t_rel= 1.319535s gust_tus=216695282
HOST-M conn#1 seq=89 t_rel= 1.319535s gust_tus=216695317
HOST-M conn#1 seq=90 t_rel= 1.349963s gust_tus=216725700
HOST-M conn#1 seq=91 t_rel= 1.349963s gust_tus=216725820
HOST-M conn#1 seq=92 t_rel= 1.379527s gust_tus=216755284
HOST-M conn#1 seq=93 t_rel= 1.379527s gust_tus=216755335
HOST-M conn#1 seq=94 t_rel= 1.409406s gust_tus=216785226
HOST-M conn#1 seq=95 t_rel= 1.409406s gust_tus=216785274
HOST-M conn#1 seq=96 t_rel= 1.439608s gust_tus=216815349
HOST-M conn#1 seq=97 t_rel= 1.439608s gust_tus=216815400
HOST-M conn#1 seq=98 t_rel= 1.469939s gust_tus=216845680
HOST-M conn#1 seq=99 t_rel= 1.469939s gust_tus=216845732
HOST-SUMMARY conn#1 msgs=100 pairs=50
HOST-SEP   conn#1 intra-pair separation(us): med=0.000us p95=0.000us max=0.000us min=0.000us
HOST-GAP   conn#1 inter-pair arrival gap(ms): med=30.002ms p95=30.331ms max=30.428ms min=29.411ms
HOST-M conn#2 seq=0 t_rel= 0.000000s gust_tus=220355243
HOST-M conn#2 seq=1 t_rel= 0.000000s gust_tus=220355322
HOST-M conn#2 seq=2 t_rel= 0.030504s gust_tus=220385453
HOST-M conn#2 seq=3 t_rel= 0.030504s gust_tus=220385497
HOST-M conn#2 seq=4 t_rel= 0.059948s gust_tus=220415254
HOST-M conn#2 seq=5 t_rel= 0.059948s gust_tus=220415288
HOST-M conn#2 seq=6 t_rel= 0.089883s gust_tus=220445251
HOST-M conn#2 seq=7 t_rel= 0.089883s gust_tus=220445287
HOST-M conn#2 seq=8 t_rel= 0.119970s gust_tus=220475257
HOST-M conn#2 seq=9 t_rel= 0.119970s gust_tus=220475294
HOST-M conn#2 seq=10 t_rel= 0.150120s gust_tus=220505373
HOST-M conn#2 seq=11 t_rel= 0.150120s gust_tus=220505408
HOST-M conn#2 seq=12 t_rel= 0.180072s gust_tus=220535420
HOST-M conn#2 seq=13 t_rel= 0.180072s gust_tus=220535458
HOST-M conn#2 seq=14 t_rel= 0.210019s gust_tus=220565299
